"Part";"Value";"Device";"Package";"Description";"";
"AKL_PWR";"";"MPT2";"2POL254";"PHOENIX CONNECTOR";"";
"C1";"0.33uF";"CPOL-EUSANYO_A'";"SANYO-OSCON_A'";"POLARIZED CAPACITOR, European symbol";"";
"C2";"0.1uF";"CPOL-EUSANYO_A'";"SANYO-OSCON_A'";"POLARIZED CAPACITOR, European symbol";"";
"C3";"1000uf";"CPOL-EUE3.5-8";"E3,5-8";"POLARIZED CAPACITOR, European symbol";"";
"C4";"100nf";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C5";"100nf";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C6";"10uf";"CPOL-EUB";"PANASONIC_B";"POLARIZED CAPACITOR, European symbol";"";
"C7";"100uf";"CPOL-EUD";"PANASONIC_D";"POLARIZED CAPACITOR, European symbol";"";
"C8";"100uf";"CPOL-EUB";"PANASONIC_B";"POLARIZED CAPACITOR, European symbol";"";
"C9";"100uf";"CPOL-EUB";"PANASONIC_B";"POLARIZED CAPACITOR, European symbol";"";
"C10";"100nf";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"D1";"1N4148";"SMD-DIODE-SWITCH-1N4148(LL-34)";"LL-34";"304040016";"";
"D2";"1N4148";"SMD-DIODE-SWITCH-1N4148(LL-34)";"LL-34";"304040016";"";
"DCMOTOR";"";"CONN_022.54MM_SCREWTERM";"1X02_2.54_SCREWTERM";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"IC1";"7805DT";"7805DT";"TO252";"Positive VOLTAGE REGULATOR";"";
"IC2";"L293D";"L293D";"DIL16";"PUSH-PULL 4 CHANNEL DRIVER";"";
"IC3";"MAX7219CNG";"MAX7219CNG";"DIL24-3";"LED DISPLAY DRIVER";"";
"IC4";"LM358D";"LM358D";"SO08";"OP AMP also LM158; LM258; LM2904";"";
"IC5";"LM358D";"LM358D";"SO08";"OP AMP also LM158; LM258; LM2904";"";
"J1";"";"CONN_18";"1X18";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"J2";"";"CONN_18";"1X18";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"J3";"";"CONN_18";"1X18";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"J4";"";"CONN_18";"1X18";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"J5";"";"CONN_05";"1X05";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"J6";"";"CONN_05";"1X05";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"J7";"SJ-3523-SMT-TR";"SJ-3523-SMT-TR";"CUI_SJ-3523-SMT-TR";"Audio Jack Connector 3.5 mm Low Profile Surface Mount Stereo Jack, 3 Pin Right-Angle";"";
"J8";"";"CONN_03LOCK_LONGPADS";"1X03_LOCK_LONGPADS";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"JP1";"";"JP2E";"JP2";"JUMPER";"";
"JP2";"";"JP2E";"JP2";"JUMPER";"";
"JP3";"";"JP3Q";"JP3Q";"JUMPER";"";
"JP4";"";"JP2E";"JP2";"JUMPER";"";
"JP5";"";"JP2E";"JP2";"JUMPER";"";
"JP6";"";"JP2E";"JP2";"JUMPER";"";
"JP7";"";"JP1E";"JP1";"JUMPER";"";
"LED1";"";"LEDSML0805";"SML0805";"LED";"";
"Q1";"IRF530";"IRF530";"TO220BV";"HEXFET Power MOSFET";"";
"Q2";"IRF530";"IRF530";"TO220BV";"HEXFET Power MOSFET";"";
"R1";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R2";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R3";"100k";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";
"R4";"220";"R-EU_R0805";"R0805";"RESISTOR, European symbol";"";
"R5";"100k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R6";"1k";"R-US_R0805";"R0805";"RESISTOR, American symbol";"";
"R7";"b10k";"POTENTIOMETER_PT-10";"PT-10";"Potentiometer";"";
"R8";"b10k";"POTENTIOMETER_PT-10";"PT-10";"Potentiometer";"";
"R9";"1M";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";
"R10";"10M";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";
"R11";"10K";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";
"R12";"10k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";
"R13";"10k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";
"R14";"10k";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";
"R15";"b100k";"TRIM_EU-RJ9W";"RJ9W";"POTENTIOMETER";"";
"R16";"10K";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";
"R17";"b10k";"TRIM_EU-RJ9W";"RJ9W";"POTENTIOMETER";"";
"R18";"270R";"R-EU_M0805";"M0805";"RESISTOR, European symbol";"";
"R19";"b10k";"TRIM_EU-RJ9W";"RJ9W";"POTENTIOMETER";"";
"S1";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";
"S2";"";"10-XX";"B3F-10XX";"OMRON SWITCH";"";
"SENSOR";"";"CONN_022.54MM_SCREWTERM";"1X02_2.54_SCREWTERM";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"SWITCHLOAD";"";"CONN_022.54MM_SCREWTERM";"1X02_2.54_SCREWTERM";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
"SWITCHLOAD1";"";"CONN_022.54MM_SCREWTERM";"1X02_2.54_SCREWTERM";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";
